date,value
2017-11-18,98.3657287236
2017-11-19,102.882223306
2017-11-20,103.766572355
2017-11-21,107.476383652
2017-11-22,109.691419161
2017-11-23,119.544110684
2017-11-24,118.473996711
2017-11-25,121.406985072
2017-11-26,128.136993474
2017-11-27,134.867001876
2017-11-28,141.597010279
2017-11-29,142.657601296
2017-11-30,121.928692004
2017-12-01,128.823875856
2017-12-02,140.592491963
2017-12-03,149.526135843
2017-12-04,158.231209627
2017-12-05,176.141989461
2017-12-06,185.762371995
2017-12-07,182.438099981
2017-12-08,174.195315739
2017-12-09,184.548685676
2017-12-10,180.779574458
2017-12-11,167.907402911
2017-12-12,189.376941075
2017-12-13,209.881265046
2017-12-14,228.1817869
2017-12-15,253.513371748
2017-12-16,259.776618603
2017-12-17,315.962478675
2017-12-18,343.868442248
2017-12-19,402.947718084
2017-12-20,409.140528309
2017-12-21,456.275760528
2017-12-22,511.944728822
2017-12-23,426.971446514
2017-12-24,528.514716063
2017-12-25,542.293296771
2017-12-26,554.836043623
2017-12-27,565.828445584
2017-12-28,542.197737374
2017-12-29,520.800831884
2017-12-30,530.029682277
2017-12-31,480.420213627
2018-01-01,562.727466165
2018-01-02,568.98891126
2018-01-03,621.676797425
2018-01-04,690.307998187
2018-01-05,681.268876705
2018-01-06,691.098771516
2018-01-07,776.544978716
2018-01-08,773.196550861
2018-01-09,755.114105282
2018-01-10,747.330640659
2018-01-11,732.028822252
2018-01-12,657.732564836
2018-01-13,733.462076201
2018-01-14,757.859386966
2018-01-15,693.33687963
2018-01-16,658.848548373
2018-01-17,478.114666183
2018-01-18,505.609824285
2018-01-19,481.695865227
2018-01-20,514.896744464
2018-01-21,587.998193305
2018-01-22,514.003278605
2018-01-23,473.863623517
2018-01-24,487.095161474
2018-01-25,507.728798474
2018-01-26,503.725162916
2018-01-27,502.767416371
2018-01-28,522.807581478
2018-01-29,537.351166977
2018-01-30,510.177329277
2018-01-31,441.969893475
2018-02-01,449.858358046
2018-02-02,385.098000003
2018-02-03,367.355958539
2018-02-04,394.66208177
2018-02-05,329.125405411
2018-02-06,258.195683889
2018-02-07,303.397662463
2018-02-08,298.502629949
2018-02-09,328.996551365
2018-02-10,347.742945659
2018-02-11,332.993952828
2018-02-12,304.732750476
2018-02-13,330.687321795
2018-02-14,313.649471273
2018-02-15,356.020818592
2018-02-16,359.171077368
2018-02-17,370.583127245
2018-02-18,386.109592126
2018-02-19,354.991663356
2018-02-20,370.813584537
2018-02-21,340.144973377
2018-02-22,314.985113103
2018-02-23,297.543433614
2018-02-24,324.441018365
2018-02-25,312.309088653
2018-02-26,313.566970125
2018-02-27,325.765351247
2018-02-28,334.566563435
2018-03-01,314.057777454
2018-03-02,336.394558069
2018-03-03,336.142325863
2018-03-04,333.829522755
2018-03-05,334.942029038
2018-03-06,330.824229067
2018-03-07,305.968622139
2018-03-08,272.437573028
2018-03-09,249.016009617
2018-03-10,255.2215771
2018-03-11,240.125914113
2018-03-12,255.108501484
2018-03-13,244.239595723
2018-03-14,251.682779107
2018-03-15,222.405891107
2018-03-16,220.008914099
2018-03-17,222.598277814
2018-03-18,201.170895976
2018-03-19,202.340711311
2018-03-20,214.726553767
2018-03-21,227.293092701
2018-03-22,231.380471706
2018-03-23,230.049361706
2018-03-24,235.321982755
2018-03-25,236.316916151
2018-03-26,236.958639453
2018-03-27,228.954351828
2018-03-28,214.263907082
2018-03-29,219.11479169
2018-03-30,188.879546591
2018-03-31,184.436688317
2018-04-01,185.490601324
2018-04-02,184.32476029
2018-04-03,196.942085044
2018-04-04,217.673233745
2018-04-05,195.059596485
2018-04-06,193.926347665
2018-04-07,188.502840024
2018-04-08,197.254859048
2018-04-09,200.35748211
2018-04-10,198.523924151
2018-04-11,206.34979095
2018-04-12,217.362249732
2018-04-13,244.669994141
2018-04-14,251.773508298
2018-04-15,256.722472022
2018-04-16,273.83729733
