date,value
2018-01-25,3638.91203528
2018-01-26,3559.46291091
2018-01-27,3483.47568638
2018-01-28,3680.20424468
2018-01-29,3773.11077303
2018-01-30,3707.16166759
2018-01-31,3206.7875698
2018-02-01,3319.8724467
2018-02-02,2817.02113045
2018-02-03,2642.60705721
2018-02-04,2805.425139
2018-02-05,2387.89116811
2018-02-06,1884.33001544
2018-02-07,2258.17325277
2018-02-08,2170.70225602
2018-02-09,2460.61582481
2018-02-10,2698.20931822
2018-02-11,2594.8007929
2018-02-12,2414.1709034
2018-02-13,2649.21510984
2018-02-14,2581.1566417
2018-02-15,2855.91633362
2018-02-16,2888.03688539
2018-02-17,2948.51351261
2018-02-18,3103.44762601
2018-02-19,2825.87031719
2018-02-20,3006.84198111
2018-02-21,2793.4955724
2018-02-22,2641.54589612
2018-02-23,2447.89003546
2018-02-24,2595.40993675
2018-02-25,2491.40147239
2018-02-26,2507.87371391
2018-02-27,2628.23062477
2018-02-28,2686.14706606
2018-03-01,2537.7450314
2018-03-02,2637.90950718
2018-03-03,2583.70070021
2018-03-04,2528.35788771
2018-03-05,2541.32137847
2018-03-06,2476.82020278
2018-03-07,2315.40788433
2018-03-08,2120.66674026
2018-03-09,1970.70999797
2018-03-10,2000.80650762
2018-03-11,1865.82502542
2018-03-12,1988.92560488
2018-03-13,1921.56520027
2018-03-14,1946.54670013
2018-03-15,1687.84487983
2018-03-16,1653.25052585
2018-03-17,1620.62764939
2018-03-18,1489.25975202
2018-03-19,1558.09849423
2018-03-20,1702.32812634
2018-03-21,1795.26165124
2018-03-22,1761.6762776
2018-03-23,1728.82402643
2018-03-24,1740.52781407
2018-03-25,1707.05721384
2018-03-26,1696.37688402
2018-03-27,1578.8972819
2018-03-28,1491.46402963
2018-03-29,1529.90660589
2018-03-30,1354.31506963
2018-03-31,1326.02976243
2018-04-01,1301.05753366
2018-04-02,1235.90103861
2018-04-03,1309.86704325
2018-04-04,1421.9382422
2018-04-05,1255.73919571
2018-04-06,1284.97857838
2018-04-07,1235.99424403
2018-04-08,1279.27693276
2018-04-09,1325.10580746
2018-04-10,1300.14307751
2018-04-11,1324.92274357
2018-04-12,1388.62544494
2018-04-13,1609.13730583
2018-04-14,1576.09256229
2018-04-15,1639.04090332
2018-04-16,1789.1512971
2018-04-17,1739.73087602
2018-04-18,1719.27944932
2018-04-19,1893.99168036
2018-04-20,1967.0781233
2018-04-21,2112.10785571
2018-04-22,2028.5402382
2018-04-23,2045.82074549
2018-04-24,2167.25973696
2018-04-25,2324.95186121
2018-04-26,2047.41333128
2018-04-27,2242.14499202
2018-04-28,2146.96461475
2018-04-29,2308.04179021
2018-04-30,2408.01652528
2018-05-01,2327.58834324
2018-05-02,2328.76583733
2018-05-03,2421.28068291
2018-05-04,2496.72251292
2018-05-05,2452.18246459
2018-05-06,2431.10690973
2018-05-07,2388.1541459
2018-05-08,2304.73648231
2018-05-09,2294.66640783
2018-05-10,2242.68367204
2018-05-11,2085.72482
2018-05-12,1873.33377041
2018-05-13,1904.79014925
2018-05-14,1876.43195002
2018-05-15,1848.07375078
2018-05-16,1819.71555154
2018-05-17,1791.3573523
2018-05-18,1762.99915307
2018-05-19,1835.83818975
2018-05-20,1819.39788469
2018-05-21,1921.37516343
2018-05-22,1874.96498765
2018-05-23,1710.33927316
2018-05-24,1566.11591812
2018-05-25,1648.06790759
2018-05-26,1581.93058839
2018-05-27,1574.14339658
2018-05-28,1556.16227251
2018-05-29,1398.42542126
2018-05-30,1532.74019347
2018-05-31,1509.92965336
2018-06-01,1557.67559038
2018-06-02,1595.88584201
2018-06-03,1644.63564945
2018-06-04,1666.20382749
2018-06-05,1577.19646305
2018-06-06,1623.63887405
2018-06-07,1621.3331825
2018-06-08,1614.80442682
2018-06-09,1593.97941386
2018-06-10,1549.00979063
2018-06-11,1339.66362743
2018-06-12,1382.88656954
2018-06-13,1267.41559618
2018-06-14,1203.61880447
2018-06-15,1291.62834001
2018-06-16,1212.12544133
2018-06-17,1227.3136772
2018-06-18,1224.36049657
2018-06-19,1266.85062186
2018-06-20,1285.81522976
2018-06-21,1270.82279544
2018-06-22,1262.03895807
2018-06-23,1100.02169082
2018-06-24,1114.53880808
2018-06-25,1061.69058271
2018-06-26,1101.3649256
2018-06-27,1028.46462429
2018-06-28,1062.03066402
2018-06-29,990.106916583
2018-06-30,1039.98885752
2018-07-01,1082.30736543
2018-07-02,1096.4415878
2018-07-03,1188.81637432
2018-07-04,1158.34351567
2018-07-05,1196.84727579
2018-07-06,1168.14303405
2018-07-07,1135.5291846
2018-07-08,1152.49562379
2018-07-09,1145.04587626
2018-07-10,1098.3966484
2018-07-11,1005.20371419
2018-07-12,1020.7274785
2018-07-13,975.942674629
2018-07-14,998.620925442
2018-07-15,990.830365241
2018-07-16,1021.76784666
2018-07-17,1105.940967
2018-07-18,1173.32288566
2018-07-19,1142.56361582
2018-07-20,1114.2780228
2018-07-21,1020.73185459
2018-07-22,1052.70483314
2018-07-23,1031.81129395
2018-07-24,1014.4811216
2018-07-25,1082.4258316
2018-07-26,1092.91599538
2018-07-27,1070.35334432
2018-07-28,1094.41041779
2018-07-29,1107.84254062
2018-07-30,1100.26700049
2018-07-31,1056.38722278
2018-08-01,997.108474678
2018-08-02,963.542749483
2018-08-03,962.991197898
2018-08-04,919.504539296
2018-08-05,879.574442804
2018-08-06,890.334789184
2018-08-07,846.666596151
2018-08-08,805.209657887
2018-08-09,708.914424216
2018-08-10,749.895392381
2018-08-11,679.752166211
2018-08-12,642.959513061
2018-08-13,651.145435837
2018-08-14,575.709678822
2018-08-15,556.065343854
2018-08-16,566.70465751
2018-08-17,603.589476459
2018-08-18,729.867782242
2018-08-19,658.297912819
2018-08-20,684.91330736
2018-08-21,630.346663133
2018-08-22,660.369130184
2018-08-23,609.510452738
2018-08-24,636.450017969
2018-08-25,665.82285789
2018-08-26,660.951970112
2018-08-27,669.441107089
2018-08-28,739.263542864
2018-08-29,803.719002805
2018-08-30,769.735895394
2018-08-31,756.045351026
2018-09-01,777.230277002
2018-09-02,829.567497417
2018-09-03,805.637834808
2018-09-04,817.709169675
2018-09-05,846.214184924
2018-09-06,690.521104553
2018-09-07,713.695582863
2018-09-08,682.252041858
2018-09-09,648.652033397
2018-09-10,655.129873476
2018-09-11,663.220812766
2018-09-12,631.447934254
2018-09-13,627.700976376
2018-09-14,662.802367674
2018-09-15,658.741226765
2018-09-16,668.055065027
2018-09-17,669.206594086
2018-09-18,618.046075644
2018-09-19,633.207443706
2018-09-20,632.608915657
2018-09-21,665.769270616
2018-09-22,730.711790182
2018-09-23,704.524923666
2018-09-24,717.402901215
2018-09-25,683.764373833
2018-09-26,674.385856383
2018-09-27,662.831568143
2018-09-28,698.879948351
2018-09-29,690.015977825
2018-09-30,687.074892143
2018-10-01,689.442207751
2018-10-02,683.744698493
2018-10-03,690.804486515
